p,ford,fI,fII
1324681,960,108,52
1324849,804,101,33
1324969,918,95,58
1325521,900,97,53
1326049,1062,117,60
1326529,720,76,44
1326649,948,113,45
1326889,936,106,50
1327201,1140,128,62
1327369,1038,117,56
1327489,1032,119,53
1327561,1128,115,73
1328161,1230,133,72
1329241,1002,114,53
1329721,954,97,62
1330009,1458,179,64
1330249,1134,126,63
1331521,600,69,31
1331761,828,92,46
1331929,696,68,48
1332361,1002,110,57
1332769,1044,106,68
1334881,1002,113,54
1335289,1086,124,57
1335889,1008,112,56
1336561,1194,126,73
1336729,870,102,43
1336801,822,88,49
1338241,792,83,49
1338481,906,97,54
1339969,882,98,49
1340329,726,83,38
1340761,1080,112,68
1340929,1314,161,58
1341481,972,105,57
1341841,990,119,46
1342489,1074,127,52
1342849,996,104,62
1343161,1080,122,58
1343689,822,85,52
1344169,1044,123,51
1345009,1488,158,90
1345129,1146,131,60
1346641,1110,120,65
1346881,1032,119,53
1347481,1026,108,63
1348489,1242,120,87
1348561,1044,124,50
1349401,828,96,42
1350001,600,73,27
1350049,1086,121,60
1350889,1146,134,57
1351249,996,102,64
1351921,984,105,59
1352521,852,98,44
1352761,930,105,50
1353241,954,116,43
1354081,774,80,49
1355089,1080,109,71
1355281,942,101,56
1355449,1158,136,57
1355881,1260,150,60
1356721,1284,142,72
1357129,840,83,57
1357561,720,88,32
1357729,1176,131,65
1357801,1020,114,56
1357969,1200,154,46
1358281,744,88,36
1358809,744,79,45
1360081,1170,136,59
1360921,888,101,47
1361089,936,108,48
1361809,1122,126,61
1361929,1038,117,56
1363321,1128,122,66
1363489,978,109,54
1364161,1044,117,57
1364329,1242,132,75
1365289,942,98,59
1365361,1566,169,92
1366009,924,110,44
1366801,990,120,45
1367521,900,92,58
1367881,1098,121,62
1368529,1062,117,60
1369201,1038,116,57
1369321,1182,135,62
1369369,744,78,46
1369561,1092,134,48
1370329,1200,135,65
1371001,1248,134,74
1371841,846,86,55
1372081,1080,127,53
1372849,744,81,43
1373521,1218,144,59
1373689,1110,124,61
1373761,828,91,47
1374601,1134,122,67
1375609,1026,120,51
1375921,822,79,58
1376449,1278,152,61
1376929,978,98,65
1377121,924,97,57
1377601,1116,120,66
1378129,894,106,43
1378441,792,85,47
1378561,1350,151,74
1378801,1020,115,55
1378969,1044,127,47
1379449,984,107,57
1379641,1224,133,71
1379809,1350,146,79
1380241,924,104,50
1380289,810,85,50
1381489,1128,127,61
1381921,792,90,42
1381969,786,99,32
1382089,1122,136,51
1383169,1482,177,70
1383769,1404,159,75
1384849,906,110,41
1385521,672,84,28
1386361,864,103,41
1387129,1356,154,72
1387681,708,84,34
1387801,966,103,58
1387849,906,101,50
1388041,1212,136,66
1388641,1080,114,66
1389481,990,116,49
1390369,1206,137,64
1390489,918,112,41
1390729,1266,141,70
1391041,948,109,49
1392889,1050,117,58
1393681,1020,116,54
1393921,660,72,38
1394089,942,100,57
1394401,1122,129,58
1397041,1050,123,52
1397761,1050,123,52
1397881,876,100,46
1398049,924,92,62
1398121,1344,158,66
1398289,1194,126,73
1398721,834,91,48
1398769,708,76,42
1399129,1080,118,62
1399441,924,105,49
1399609,834,95,44
1400449,1128,139,49
1400809,1086,122,59
1401409,1116,125,61
1401481,984,103,61
1402081,1242,143,64
1402129,876,105,41
1402249,750,81,44
1402801,1068,129,49
1403641,1356,148,78
1404649,708,75,43
1405009,840,87,53
1405681,876,95,51
1406161,876,97,49
1406281,1338,141,82
1406521,1026,113,58
1406689,642,76,31
1407361,1206,128,73
1407841,816,79,57
1408009,804,90,44
1408201,1074,118,61
1409041,1110,125,60
1409209,1134,131,58
1410049,690,77,38
1410361,882,105,42
1411369,1146,149,42
1412041,888,116,32
1413001,1050,120,55
1413169,1008,113,55
1413889,636,72,34
1414081,714,82,37
1414681,936,105,51
1414849,1074,134,45
1414921,948,124,34
1415569,1056,122,54
1415929,702,85,32
1416601,696,70,46
1416769,1362,151,76
1417369,1008,105,63
1418449,1296,153,63
1418881,1182,129,68
1419961,1320,146,74
1420561,1068,112,66
1420729,1236,145,61
1421401,948,110,48
1421449,1170,132,63
1421569,1368,165,63
1422241,1308,142,76
1422409,1308,146,72
1422961,924,103,51
1423129,1158,132,61
1423321,636,79,27
1423921,978,116,47
1423969,1026,111,60
1424809,900,99,51
1425169,930,102,53
1425481,1272,146,66
1425601,1056,118,58
1425649,918,103,50
1425769,906,100,51
1426489,810,94,41
1427281,1014,114,55
1427329,792,91,41
1427521,1212,134,68
1428169,1158,124,69
1428529,1056,124,52
1429201,792,93,39
1429369,1326,152,69
1429801,1050,118,57
1429849,750,87,38
1429969,1146,131,60
1430041,792,88,44
1430521,636,72,34
1430641,624,71,33
1430881,864,97,47
1431361,984,104,60
1431649,1146,126,65
1431721,684,71,43
1432489,1038,120,53
1432729,936,102,54
1433041,708,76,42
1433329,1038,118,55
1434241,744,81,43
1434841,966,107,54
1435009,702,77,40
1435249,990,110,55
1435561,1002,114,53
1435921,960,106,54
1436089,1404,165,69
1437409,660,82,28
1438609,1266,134,77
1439089,1098,119,64
1439209,1332,154,68
1439881,768,94,34
1440889,1140,136,54
1440961,948,107,51
1441729,1038,123,50
1442641,720,76,44
1443961,1080,111,69
1444081,876,104,42
1444249,984,110,54
1444489,1266,130,81
1444801,990,112,53
1445161,774,99,30
1445329,1464,168,76
1445929,1158,130,63
1446001,1272,144,68
1446169,1404,150,84
1447009,1098,129,54
1447441,1068,121,57
1447609,864,93,51
1448449,906,98,53
1449001,852,91,51
1449121,912,108,44
1449169,1074,127,52
1449289,900,103,47
1449361,636,82,24
1449841,1020,116,54
1450201,702,81,36
1450849,594,75,24
1451041,1146,131,60
1451209,1002,115,52
1451521,1014,120,49
1451641,852,88,54
1453201,1098,117,66
1453321,744,93,31
1453369,966,102,59
1453489,1230,142,63
1453729,1038,106,67
1454041,1008,123,45
1454209,936,103,53
1454569,858,93,50
1455241,1188,144,54
1455409,1338,145,78
1455721,984,117,47
1455841,636,78,28
1456561,1068,118,60
1456921,678,90,23
1458409,882,91,56
1458601,960,109,51
1459369,1050,118,57
1459609,1338,150,73
1459921,1200,140,60
1460089,1404,164,70
1460281,720,77,43
1461289,1236,138,68
1461601,726,77,44
1461769,834,89,50
1462801,1020,119,51
1463569,1338,145,78
1463641,834,88,51
1464241,840,103,37
1464289,1206,136,65
1464481,1026,115,56
1464649,1488,167,81
1464961,762,80,47
1465081,1248,129,79
1465129,966,108,53
1465249,948,98,60
1465801,1020,114,56
1466329,1344,162,62
1466929,882,95,52
1467001,1218,125,78
1469161,744,83,41
1469521,744,84,40
1470289,1458,167,76
1470529,876,88,58
1470841,708,79,39
1471681,960,106,54
1472041,1134,126,63
1472209,930,109,46
1472689,786,88,43
1473049,858,93,50
1473529,1230,138,67
1473649,1002,113,54
1474321,852,97,45
1474489,1002,111,56
1475401,1500,157,93
1476001,978,114,49
1476169,1218,129,74
1477081,864,101,43
1478089,1176,126,70
1478689,696,80,36
1478929,1008,107,61
1479409,966,105,56
1480201,1290,157,58
1481041,756,81,45
1481281,900,102,48
1481881,1044,121,53
1482049,1086,129,52
1482121,864,88,56
1482289,1050,120,55
1482889,834,87,52
1483561,870,99,46
1483969,1248,148,60
1484281,1308,146,72
1484449,1092,125,57
1486081,684,82,32
1486249,1134,135,54
1486321,1092,118,64
1487641,612,69,33
1487809,1098,126,57
1488481,1062,129,48
1489009,1020,110,60
1489321,954,105,54
1489441,1542,184,73
1490161,1086,109,72
1490329,942,105,52
1491001,936,108,48
1491961,1050,103,72
1492009,1080,111,69
1492201,1146,110,81
1492801,1080,129,51
1492969,768,87,41
1493641,1020,120,50
